Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Image Src,Status
encyclopedia-volume-06,Encyclopedia Volume 06,<p>Encyclopedia Volume 06 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-bc2e3fb,3.99,1,deny,manual,,active
encyclopedia-volume-07,Encyclopedia Volume 07,<p>Encyclopedia Volume 07 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-fc14dc1,3.99,1,deny,manual,,active
encyclopedia-volume-08,Encyclopedia Volume 08,<p>Encyclopedia Volume 08 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-6fd0cd3,3.99,1,deny,manual,,active
encyclopedia-volume-09,Encyclopedia Volume 09,<p>Encyclopedia Volume 09 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-bb57500,3.99,1,deny,manual,,active
encyclopedia-volume-10,Encyclopedia Volume 10,<p>Encyclopedia Volume 10 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-54c98f4,3.99,1,deny,manual,,active
encyclopedia-volume-11,Encyclopedia Volume 11,<p>Encyclopedia Volume 11 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-e58f26f,3.99,1,deny,manual,,active
encyclopedia-volume-12,Encyclopedia Volume 12,<p>Encyclopedia Volume 12 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-bcf2da6,3.99,1,deny,manual,,active
encyclopedia-volume-13,Encyclopedia Volume 13,<p>Encyclopedia Volume 13 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-6823287,3.99,1,deny,manual,,active
encyclopedia-volume-14,Encyclopedia Volume 14,<p>Encyclopedia Volume 14 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-45df32b,3.99,1,deny,manual,,active
encyclopedia-volume-15,Encyclopedia Volume 15,<p>Encyclopedia Volume 15 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-27991ea,3.99,1,deny,manual,,active
encyclopedia-volume-16,Encyclopedia Volume 16,<p>Encyclopedia Volume 16 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-ccac331,3.99,1,deny,manual,,active
encyclopedia-volume-17,Encyclopedia Volume 17,<p>Encyclopedia Volume 17 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-23516ae,3.99,1,deny,manual,,active
encyclopedia-volume-18,Encyclopedia Volume 18,<p>Encyclopedia Volume 18 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-e63008e,3.99,1,deny,manual,,active
encyclopedia-volume-19,Encyclopedia Volume 19,<p>Encyclopedia Volume 19 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-252e904,3.99,1,deny,manual,,active
encyclopedia-volume-20,Encyclopedia Volume 20,<p>Encyclopedia Volume 20 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-b032bcc,3.99,1,deny,manual,,active
encyclopedia-volume-21,Encyclopedia Volume 21,<p>Encyclopedia Volume 21 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-42b54f9,3.99,1,deny,manual,,active
encyclopedia-volume-22,Encyclopedia Volume 22,<p>Encyclopedia Volume 22 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-84e3b78,3.99,1,deny,manual,,active
encyclopedia-volume-23,Encyclopedia Volume 23,<p>Encyclopedia Volume 23 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-33a9872,3.99,1,deny,manual,,active
encyclopedia-volume-24,Encyclopedia Volume 24,<p>Encyclopedia Volume 24 — A Gullah Geechee publication by Darryl E. Brown</p>,Gullah Geechee Biz,Book,"Gullah Geechee, Book, Books",TRUE,Format,eBook,ggb-manifest-47095be,3.99,1,deny,manual,,active
